MxForce Drift   Pressure        TOTEN           Filename
3.3336  0.0126      1.39        -182.502124     OUTCAR
6.3595  0.0094     -1.14        -180.878469     OUTCAR
3.7686  0.0165     -1.27        -182.360269     OUTCAR
2.0964  0.0192     -0.93        -182.717565     OUTCAR
4.6800  0.0372     -0.39        -182.540776     OUTCAR
1.0130  0.0236     -0.79        -182.833869     OUTCAR
2.1645  0.0133     -0.90        -182.753194     OUTCAR
0.3835  0.0322     -0.77        -182.860641     OUTCAR
0.9415  0.0332     -0.62        -182.842186     OUTCAR
0.2462  0.0373     -0.67        -182.869002     OUTCAR
0.5542  0.0358     -0.64        -182.861748     OUTCAR
0.2632  0.0366     -0.69        -182.872663     OUTCAR
0.6889  0.0477     -0.49        -182.868983     OUTCAR
0.1265  0.0439     -0.61        -182.875137     OUTCAR
0.2500  0.0344     -0.62        -182.874883     OUTCAR
0.0815  0.0462     -0.57        -182.876843     OUTCAR
0.0843  0.0555     -0.57        -182.877402     OUTCAR
0.2658  0.0494     -0.59        -182.877397     OUTCAR
0.0745  0.0436     -0.55        -182.878408     OUTCAR
0.0963  0.0511     -0.55        -182.878982     OUTCAR
0.0621  0.0529     -0.54        -182.879294     OUTCAR
0.0646  0.0572     -0.52        -182.879784     OUTCAR
0.0586  0.0528     -0.53        -182.879976     OUTCAR
0.0465  0.0525     -0.51        -182.880387     OUTCAR
0.0536  0.0486     -0.52        -182.880536     OUTCAR
0.0494  0.0478     -0.50        -182.880874     OUTCAR
0.0446  0.0497     -0.50        -182.880918     OUTCAR
0.0423  0.0525     -0.50        -182.881162     OUTCAR
0.0399  0.0492     -0.49        -182.881274     OUTCAR
